sample,method,mean_ms,std_ms
0,random,0.071,0.004
0,papit_clip,63.757,0.139
0,papit_distill,0.432,0.012
0,oracle_L16,216.35,0.046
1,random,0.07,0.003
1,papit_clip,63.769,0.038
1,papit_distill,0.436,0.024
1,oracle_L16,216.481,0.047
2,random,0.074,0.009
2,papit_clip,63.916,0.05
2,papit_distill,0.432,0.012
2,oracle_L16,217.606,0.024
3,random,0.075,0.01
3,papit_clip,63.822,0.05
3,papit_distill,0.429,0.015
3,oracle_L16,216.172,0.092
4,random,0.07,0.004
4,papit_clip,63.808,0.022
4,papit_distill,0.433,0.017
4,oracle_L16,216.054,0.018
5,random,0.069,0.002
5,papit_clip,63.87,0.026
5,papit_distill,0.427,0.011
5,oracle_L16,216.075,0.017
6,random,0.068,0.001
6,papit_clip,63.792,0.043
6,papit_distill,0.436,0.016
6,oracle_L16,215.493,0.05
7,random,0.074,0.012
7,papit_clip,63.819,0.035
7,papit_distill,0.427,0.016
7,oracle_L16,216.572,0.095
8,random,0.07,0.002
8,papit_clip,64.236,0.807
8,papit_distill,0.434,0.016
8,oracle_L16,216.829,0.414
9,random,0.068,0.001
9,papit_clip,91.083,60.866
9,papit_distill,0.432,0.02
9,oracle_L16,216.552,0.034
10,random,0.075,0.01
10,papit_clip,63.923,0.053
10,papit_distill,0.431,0.011
10,oracle_L16,216.515,0.034
11,random,0.074,0.01
11,papit_clip,63.975,0.083
11,papit_distill,0.427,0.016
11,oracle_L16,216.673,0.061
12,random,0.075,0.014
12,papit_clip,63.932,0.181
12,papit_distill,0.428,0.017
12,oracle_L16,216.064,0.016
13,random,0.068,0.002
13,papit_clip,63.823,0.052
13,papit_distill,0.427,0.01
13,oracle_L16,213.027,0.022
14,random,0.074,0.011
14,papit_clip,63.886,0.064
14,papit_distill,0.436,0.018
14,oracle_L16,216.727,0.076
15,random,0.069,0.002
15,papit_clip,63.887,0.038
15,papit_distill,0.429,0.014
15,oracle_L16,216.156,0.027
16,random,0.069,0.002
16,papit_clip,63.849,0.042
16,papit_distill,0.428,0.015
16,oracle_L16,213.04,0.03
17,random,0.069,0.002
17,papit_clip,63.831,0.051
17,papit_distill,0.426,0.012
17,oracle_L16,216.725,0.027
18,random,0.069,0.002
18,papit_clip,63.831,0.022
18,papit_distill,0.426,0.011
18,oracle_L16,217.142,0.023
19,random,0.068,0.002
19,papit_clip,63.88,0.065
19,papit_distill,0.428,0.014
19,oracle_L16,217.161,0.014
